ranking,ISBN,title,author,publisher,genre,year
1,9784641009240 ,ポケット六法　令和６年版,佐伯仁志,有斐閣,法律,2024
2,9784641233249 ,商法判例集,神作裕之,有斐閣,法律,2024
3,9784102052129 ,百年の孤独,ガブリエル・ガルシア・マルケス,新潮社,外文小説,2024
4,9784130323970 ,会社法,田中亘,東京大学出版会,法律,2024
5,9784641227699 ,行政法判例集　１,大橋洋一（行政法学）,有斐閣,法律,2024
6,9784502452918 ,組織変革論,舟津昌平,中央経済社,経営,2024
7,9784641115651 ,民事訴訟法判例百選,高田裕成,有斐閣,法律,2024
8,9784641069251 ,ポケット六法　令和７年版,荒木尚志,有斐閣,法律,2024
9,9784641139626 ,判例刑法各論,山口厚,有斐閣,法律,2024
10,9784334103804 ,まったく新しいアカデミック・ライティングの教科書,阿部幸大,光文社,日文評論,2024
11,9784641131866 ,行政法　１,塩野宏,有斐閣,法律,2024
12,9784883194766 ,日本語初級１大地メインテキスト,山崎佳子,スリーエーネットワーク,日本語,2024
13,9784883194773 ,日本語初級１大地文型説明と翻訳英語版,山崎佳子,スリーエーネットワーク,日本語,2024
14,9784641233157 ,民法判例集　担保物権・債権総論,瀬川信久,有斐閣,法律,2024
15,9784641179578 ,民法　６,前田陽一,有斐閣,法律,2024
16,9784627661165 ,新編ＪＩＳ機械製図,吉澤武男,森北出版,機械,2024
17,9784641222304 ,国際法,中谷和弘,有斐閣,法律,2024
18,9784815809584 ,法曹の倫理,森際康友,名古屋大学出版会,法律,2024
19,9784480439123 ,思考の整理学,外山滋比古,筑摩書房,哲学,2024
20,9784010944318 ,ＴＯＥＦＬテスト英単語３８００,神部孝,旺文社,英米語,2024
21,9784130323536 ,民法　３,内田貴,東京大学出版会,法律,2024
22,9784883843442 ,債権各論　１,潮見佳男,新世社（渋谷区）,法律,2024
23,9784816375422 ,史上最強ＳＰＩ＆テストセンター超実戦問題集　２０２６最新版,オフィス海,ナツメ社,社会科学,2024
24,9784492556733 ,東大生が書いた問題を解く力を鍛えるケース問題ノート,東大ケーススタディ研究会,東洋経済新報社,経営,2024
25,9784641053854 ,計量経済学,西山慶彦,有斐閣,経済財政,2024
26,9784641136717 ,民法判例集　親族・相続,内田貴,有斐閣,法律,2024
27,9784641227583 ,行政法判例集　２,大橋洋一（行政法学）,有斐閣,法律,2024
28,9784320115514 ,データ解析のための数理統計入門,久保川達也,共立出版,数学,2024
29,9784641243576 ,労働法,荒木尚志,有斐閣,法律,2024
30,9784320036314 ,解析力学,渡辺悠樹,共立出版,物理学,2024
31,9784335357251 ,精読憲法判例　人権編,木下昌彦,弘文堂,法律,2024
32,9784641001619 ,国際条約集　２０２４年版,植木俊哉,有斐閣,法律,2024
33,9784641227712 ,行政法　２,塩野宏,有斐閣,法律,2024
34,9784023315686 ,ＴＯＥＩＣ　Ｌ＆Ｒ　ＴＥＳＴ出る単特急金のフレーズ,ＴＥＸ加藤,朝日新聞出版,英米語,2024
35,9784883843596 ,金融商品取引法,飯田秀総,新世社（渋谷区）,法律,2024
36,9784335358074 ,精読憲法判例　統治編,木下昌彦,弘文堂,法律,2024
37,9784480076403 ,歴史学はこう考える,松沢裕作,筑摩書房,日本歴史,2024
38,9784883843367 ,債権各論　２,潮見佳男,新世社（渋谷区）,法律,2024
39,9784335359927 ,法律文章読本,白石忠志,弘文堂,法律,2024
40,9784641228603 ,租税法入門,増井良啓,有斐閣,法律,2024
41,9784641115644 ,民法判例百選　３,大村敦志,有斐閣,法律,2024
42,9784641139466 ,刑法事例演習教材,井田良,有斐閣,法律,2024
43,9784641138193 ,民法判例集　債権各論,瀬川信久,有斐閣,法律,2024
44,9784130323765 ,刑事訴訟法,三井誠,東京大学出版会,法律,2024
45,9784641009257 ,ポケット六法　令和７年版,荒木尚志,有斐閣,法律,2024
46,9784785726041 ,支払決済法,小塚荘一郎,商事法務,法律,2024
47,9784641139336 ,ケースブック刑事訴訟法,井上正仁,有斐閣,法律,2024
48,9784150124342 ,三体,劉慈欣,早川書房,外文小説,2024
49,9784866840338 ,民事訴訟第一審手続の解説,司法研修所,法曹会,法律,2024
50,9784101035413 ,暇と退屈の倫理学,國分功一郎,新潮社,倫理,2024
51,9784641179561 ,民事訴訟法,三木浩一,有斐閣,法律,2024
52,9784883195077 ,日本語初級２大地　メインテキスト,山崎佳子,スリーエーネットワーク,日本語,2024
53,9784479394105 ,問うとはどういうことか,梶谷真司,大和書房,哲学,2024
54,9784065345115 ,これが本当のＷｅｂテストだ！　１　２０２６年度版,ＳＰＩノートの会,講談社,社会科学,2024
55,9784492973332 ,会社四季報業界地図　２０２４年版,東洋経済新報社,東洋経済新報社,経営,2024
56,9784046045690 ,大学４年間のマーケティングが１０時間でざっと学べる,阿部誠（マーケティング）,ＫＡＤＯＫＡＷＡ,経営,2024
57,9784781916132 ,物性物理のための場の理論・グリーン関数,小形正男,サイエンス社,物理学,2024
58,9784344985148 ,考えるとはどういうことか,梶谷真司,幻冬舎,日文評論,2024
59,9784000296793 ,科学者の社会的責任,藤垣裕子,岩波書店,自然科学,2024
60,9784883195213 ,日本語初級２大地　文型説明と翻訳英語版,山崎佳子,スリーエーネットワーク,日本語,2024
61,9784065347829 ,グラフニューラルネットワーク,佐藤竜馬,講談社,数学,2024
62,9784815622978 ,生成ＡＩで世界はこう変わる,今井翔太,ＳＢクリエイティブ,経営,2024
63,9784130624664 ,Ｐｙｔｈｏｎデータ解析入門,森純一郎,東京大学出版会,情報科学,2024
64,9784000610070 ,第一次世界大戦開戦原因の再検討,小野塚知二,岩波書店,外国歴史,2024
65,9784589042019 ,商法総則・商行為法,北村雅史,法律文化社,法律,2024
66,9784864810258 ,電気電子計測,廣瀬明,数理工学社,電気,2024
67,9784103549512 ,成瀬は天下を取りにいく,宮島未奈,新潮社,日文小説,2024
68,9784641138988 ,民法の基礎　２,佐久間毅,有斐閣,法律,2024
69,9784641165601 ,金融論,福田慎一,有斐閣,経済財政,2024
70,9784339032116 ,古典制御論,吉川恒夫,コロナ社,機械,2024
71,9784087213034 ,なぜ東大は男だらけなのか,矢口祐人,集英社,社会科学,2024
72,9784163918273 ,センスの哲学,千葉雅也,文藝春秋,日文評論,2024
73,9784088841960 ,ＯＮＥ　ＰＩＥＣＥ　巻１０９,尾田栄一郎,集英社,コミック,2024
74,9784297136338 ,大規模言語モデル入門,山田育矢,技術評論社,電子通信,2024
75,9784535540439 ,因果推論の計量経済学,川口康平,日本評論社,経済財政,2024
76,9784121027528 ,戦後日本政治史,境家史郎,中央公論新社,政治,2024
77,9784130634595 ,教養としての機械学習,杉山将,東京大学出版会,情報科学,2024
78,9784065345085 ,これが本当のＷｅｂテストだ！　２　２０２６年度版,ＳＰＩノートの会,講談社,社会科学,2024
79,9784814400591 ,ゼロから作るＤｅｅｐ　Ｌｅａｒｎｉｎｇ　５,斎藤康毅,オライリー・ジャパン,電子通信,2024
80,9784088843148 ,ＯＮＥ　ＰＩＥＣＥ　巻１１０,尾田栄一郎,集英社,コミック,2024
81,9784595322075 ,大学マネジメント論,小方直幸,放送大学教育振興会,経営,2024
82,9784492556542 ,現役東大生が書いた地頭を鍛えるフェルミ推定ノート,東大ケーススタディ研究会,東洋経済新報社,経営,2024
83,9784866840932 ,事例で考える民事事実認定,司法研修所,法曹会,法律,2024
84,9784004320012 ,ケアの倫理,岡野八代,岩波書店,倫理,2024
85,9784088840130 ,ＯＮＥ　ＰＩＥＣＥ　巻１０８,尾田栄一郎,集英社,コミック,2024
86,9784641138322 ,民法の基礎　１,佐久間毅,有斐閣,法律,2024
87,9784641115637 ,民法判例百選　２,窪田充見,有斐閣,法律,2024
88,9784088842110 ,呪術廻戦　２８,芥見下々,集英社,コミック,2024
89,9784130626316 ,統計力学の基礎　１,清水明,東京大学出版会,物理学,2024
90,9784641003446 ,有斐閣判例六法　令和６年版,佐伯仁志,有斐閣,法律,2024
91,9784004317104 ,ライシテから読む現代フランス,伊達聖伸,岩波書店,政治,2024
92,9784641115606 ,行政判例百選　１,斎藤誠（行政法学）,有斐閣,法律,2024
93,9784065332931 ,転移学習,松井孝太,講談社,数学,2024
94,9784906033713 ,公式ＴＯＥＩＣ　Ｌｉｓｔｅｎｉｎｇ　＆　Ｒｅａｄｉｎｇ問題集　１０,Ｅｄｕｃａｔｉｏｎａｌ　Ｔｅｓｔｉｎｇ,国際ビジネスコミュニケーション協会,英米語,2024
95,9784150124427 ,三体　２,劉慈欣,早川書房,外文小説,2024
96,9784000614245 ,経済学のためのゲーム理論入門,ロバート・ギボンズ,岩波書店,経済財政,2024
97,9784569904009 ,赤と青のガウン,彬子女王,ＰＨＰ研究所,日文評論,2024
98,9784480837257 ,リサーチのはじめかた,トーマス・Ｓ・マラニー,筑摩書房,社会科学,2024
99,9784641115620 ,民法判例百選　１,潮見佳男,有斐閣,法律,2024
100,9784088837994 ,呪術廻戦　２５,芥見下々,集英社,コミック,2024
1,9784130323970 ,会社法,田中亘,東京大学出版会,法律,2023
2,9784641009233 ,ポケット六法　令和５年版,佐伯仁志,有斐閣,法律,2023
3,9784883843442 ,債権各論　１,潮見佳男,新世社（渋谷区）,法律,2023
4,9784641009240 ,ポケット六法　令和６年版,佐伯仁志,有斐閣,法律,2023
5,9784883843367 ,債権各論　２,潮見佳男,新世社（渋谷区）,法律,2023
6,9784641139626 ,判例刑法各論,山口厚,有斐閣,法律,2023
7,9784641115613 ,行政判例百選　２,斎藤誠（行政法学）,有斐閣,法律,2023
8,9784641115606 ,行政判例百選　１,斎藤誠（行政法学）,有斐閣,法律,2023
9,9784101035413 ,暇と退屈の倫理学,國分功一郎,新潮社,倫理,2023
10,9784641227361 ,行政法判例５０！,大橋真由美,有斐閣,法律,2023
11,9784641115644 ,民法判例百選　３,大村敦志,有斐閣,法律,2023
12,9784641138193 ,民法判例集　債権各論,瀬川信久,有斐閣,法律,2023
13,9784641115651 ,民事訴訟法判例百選,高田裕成,有斐閣,法律,2023
14,9784866840956 ,紛争類型別の要件事実,司法研修所,法曹会,法律,2023
15,9784335357251 ,精読憲法判例　人権編,木下昌彦,弘文堂,法律,2023
16,9784641399136 ,上級民事訴訟法,伊藤眞（民事訴訟法）,有斐閣,法律,2023
17,9784641115545 ,会社法判例百選,神作裕之,有斐閣,法律,2023
18,9784130323536 ,民法　３,内田貴,東京大学出版会,法律,2023
19,9784641115620 ,民法判例百選　１,潮見佳男,有斐閣,法律,2023
20,9784866840949 ,新問題研究要件事実,司法研修所,法曹会,法律,2023
21,9784866840154 ,プラクティス刑事裁判　平成３０年版,司法研修所刑事裁判教官室,法曹会,法律,2023
22,9784866840161 ,プロシーディングス刑事裁判　平成３０年版,司法研修所刑事裁判教官室,法曹会,法律,2023
23,9784000063432 ,拡散モデル,岡野原大輔,岩波書店,数学,2023
24,9784641001596 ,国際条約集　２０２３年版,植木俊哉,有斐閣,法律,2023
25,9784641243576 ,労働法,荒木尚志,有斐閣,法律,2023
26,9784762031618 ,戦略的マーケティングの基本演習１２講,目黒良門,学文社,経営,2023
27,9784492556733 ,東大生が書いた問題を解く力を鍛えるケース問題ノート,東大ケーススタディ研究会,東洋経済新報社,経営,2023
28,9784121027566 ,言語の本質,今井むつみ,中央公論新社,語学総記,2023
29,9784641115637 ,民法判例百選　２,窪田充見,有斐閣,法律,2023
30,9784000297196 ,大規模言語モデルは新たな知能か,岡野原大輔,岩波書店,情報科学,2023
31,9784866840338 ,民事訴訟第一審手続の解説,司法研修所,法曹会,法律,2023
32,9784641233157 ,民法判例集　担保物権・債権総論,瀬川信久,有斐閣,法律,2023
33,9784883194766 ,日本語初級１大地メインテキスト,山崎佳子,スリーエーネットワーク,日本語,2023
34,9784832274990 ,妄想アカデミズム　１,檜山ユキ,芳文社,コミック,2023
35,9784010944318 ,ＴＯＥＦＬテスト英単語３８００,神部孝,旺文社,英米語,2023
36,9784641233249 ,商法判例集,神作裕之,有斐閣,法律,2023
37,9784502452918 ,組織変革論,舟津昌平,中央経済社,経営,2023
38,9784815809584 ,法曹の倫理,森際康友,名古屋大学出版会,法律,2023
39,9784866840321 ,民事判決起案の手引,司法研修所,法曹会,法律,2023
40,9784641139336 ,ケースブック刑事訴訟法,井上正仁,有斐閣,法律,2023
41,9784883194773 ,日本語初級１大地文型説明と翻訳英語版,山崎佳子,スリーエーネットワーク,日本語,2023
42,9784641179530 ,民法　６,前田陽一,有斐閣,法律,2023
43,9784065305140 ,最適輸送の理論とアルゴリズム,佐藤竜馬,講談社,数学,2023
44,9784864810258 ,電気電子計測,廣瀬明,数理工学社,電気,2023
45,9784103534372 ,街とその不確かな壁,村上春樹,新潮社,日文小説,2023
46,9784866840932 ,事例で考える民事事実認定,司法研修所,法曹会,法律,2023
47,9784627661165 ,新編ＪＩＳ機械製図,吉澤武男,森北出版,機械,2023
48,9784130323765 ,刑事訴訟法,三井誠,東京大学出版会,法律,2023
