ranking,title
1,ポケット六法　令和６年版
2,商法判例集
3,百年の孤独
4,会社法
5,行政法判例集　１
6,組織変革論
7,民事訴訟法判例百選
8,ポケット六法　令和７年版
9,判例刑法各論
10,まったく新しいアカデミック・ライティングの教科書
11,行政法　１
12,日本語初級１大地メインテキスト
13,日本語初級１大地文型説明と翻訳英語版
14,民法判例集　担保物権・債権総論
15,民法　６
16,新編ＪＩＳ機械製図
17,国際法
18,法曹の倫理
19,思考の整理学
20,ＴＯＥＦＬテスト英単語３８００
21,民法　３
22,債権各論　１
23,史上最強ＳＰＩ＆テストセンター超実戦問題集　２０２６最新版
24,東大生が書いた問題を解く力を鍛えるケース問題ノート
25,計量経済学
26,民法判例集　親族・相続
27,行政法判例集　２
28,データ解析のための数理統計入門
29,労働法
30,解析力学
31,精読憲法判例　人権編
32,国際条約集　２０２４年版
33,行政法　２
34,ＴＯＥＩＣ　Ｌ＆Ｒ　ＴＥＳＴ出る単特急金のフレーズ
35,金融商品取引法
36,精読憲法判例　統治編
37,歴史学はこう考える
38,債権各論　２
39,法律文章読本
40,租税法入門
41,民法判例百選　３
42,刑法事例演習教材
43,民法判例集　債権各論
44,刑事訴訟法
45,ポケット六法　令和７年版
46,支払決済法
47,ケースブック刑事訴訟法
48,三体
49,民事訴訟第一審手続の解説
50,暇と退屈の倫理学
51,民事訴訟法
52,日本語初級２大地　メインテキスト
53,問うとはどういうことか
54,これが本当のＷｅｂテストだ！　１　２０２６年度版
55,会社四季報業界地図　２０２４年版
56,大学４年間のマーケティングが１０時間でざっと学べる
57,物性物理のための場の理論・グリーン関数
58,考えるとはどういうことか
59,科学者の社会的責任
60,日本語初級２大地　文型説明と翻訳英語版
61,グラフニューラルネットワーク
62,生成ＡＩで世界はこう変わる
63,Ｐｙｔｈｏｎデータ解析入門
64,第一次世界大戦開戦原因の再検討
65,商法総則・商行為法
66,電気電子計測
67,成瀬は天下を取りにいく
68,民法の基礎　２
69,金融論
70,古典制御論
71,なぜ東大は男だらけなのか
72,センスの哲学
73,ＯＮＥ　ＰＩＥＣＥ　巻１０９
74,大規模言語モデル入門
75,因果推論の計量経済学
76,戦後日本政治史
77,教養としての機械学習
78,これが本当のＷｅｂテストだ！　２　２０２６年度版
79,ゼロから作るＤｅｅｐ　Ｌｅａｒｎｉｎｇ　５
80,ＯＮＥ　ＰＩＥＣＥ　巻１１０
81,大学マネジメント論
82,現役東大生が書いた地頭を鍛えるフェルミ推定ノート
83,事例で考える民事事実認定
84,ケアの倫理
85,ＯＮＥ　ＰＩＥＣＥ　巻１０８
86,民法の基礎　１
87,民法判例百選　２
88,呪術廻戦　２８
89,統計力学の基礎　１
90,有斐閣判例六法　令和６年版
91,ライシテから読む現代フランス
92,行政判例百選　１
93,転移学習
94,公式ＴＯＥＩＣ　Ｌｉｓｔｅｎｉｎｇ　＆　Ｒｅａｄｉｎｇ問題集　１０
95,三体　２
96,経済学のためのゲーム理論入門
97,赤と青のガウン
98,リサーチのはじめかた
99,民法判例百選　１
100,呪術廻戦　２５
