ranking,title
1,東大英語リーディング　多元化する世界を英語で読む
2,身体運動・健康科学ベーシック
3,情報
4,基礎化学実験
5,基礎物理学実験　２０２４秋ー２０２５春
6,物理・化学・数理から理解する生命科学
7,スペイン語学習の羅針盤
8,漢語課本
9,大学数学ことはじめ
10,現代物性化学の基礎
11,３ＤーＣＡＤで学ぶ図形科学入門
12,量子化学
13,理系総合のための生命科学
14,入門統計解析
15,マクスウェル方程式から始める電磁気学
16,基礎生命科学実験
17,Ｐｙｔｈｏｎによるプログラミング入門　東京大学教養学部テキスト
18,進化と人間行動
19,東大連続講義歴史学の思考法
20,基礎物理学実験　２０２３秋ー２０２４春
21,振動・波動
22,憲法
23,初修中国語演習テキスト
24,チャート式シリーズ大学教養　線形代数
25,判例刑法総論
26,チャート式シリーズ大学教養　微分積分
27,民法の基礎　１
28,微分積分学
29,考える力学
30,新微分積分Ｉ
31,イタリア語のスタート文法と練習
32,民法の基礎　２
33,憲法判例百選　１
34,憲法判例百選　２
35,心理学
36,科学の技法
37,スペイン語の入門
38,家族の肖像
39,線型代数入門
40,ポケット六法　令和６年版
41,化学の基礎７７講
42,民法判例集　総則・物権
43,公式と例題で学ぶ　統計学入門
44,相対性理論入門講義
45,新微分積分Ｉ問題集
46,ポケット六法　令和７年版
47,線形代数学
48,ミクロ経済学の力
49,工学基礎図学と製図
50,現代アート入門
51,大学生のストレスマネジメント
52,思考の整理学
53,政治学の第一歩
54,経済学史
55,入門経済学
56,スペイン語文法ハンドブック
57,熱力学
58,国際条約集　２０２４年版
59,演習図学と製図
60,マンキューマクロ経済学　１
61,百年の孤独
62,暇と退屈の倫理学
63,グローバル化時代の日本国憲法
64,化学熱力学
65,まったく新しいアカデミック・ライティングの教科書
66,ミクロ経済学
67,進化と感情から解き明かす社会心理学
68,力学
69,齊藤正彦　微分積分学
70,解析力学
71,ヨーロッパのデモクラシー
72,熱力学
73,ことばの架け橋
74,話して学ぶフランス文法
75,チンチャ！チョアヘヨ！！韓国語　１
76,こうすれば英語が聞ける
77,国際政治学
78,熱力学入門講義
79,語りかける量子化学
80,解析入門　１
81,数理系のための基礎と応用微分積分　１
82,アトキンス物理化学　上
83,東京大学「ボーカロイド音楽論」講義
84,リズコミ！フランス語会話ー自立思考と自由会話
85,演習電磁気学
86,演習力学
87,グラメール・アクティーヴ
88,明快フランス語文法
89,プチ・ロワイヤル仏和辞典小型版
90,熱力学
91,比較政治学
92,演習ミクロ経済学
93,国際法判例百選
94,ロシア語をはじめよう
95,Spirale　Nouvelle　edition/Livere　de　l’ele
96,赤ちゃんの心はどのように育つのか
97,聞いて話す初級中国語インテンシブ
98,立憲主義と日本国憲法
99,ヨーロッパ政治史
100,三体
