ranking,title
1,英米法総論　上
2,理工系のための経済学・ファイナンス理論
3,コンピュータアーキテクチャ
4,解剖実習の手びき
5,理科系の作文技術
6,行政学
7,生産マネジメント入門　１（生産システム編）
8,英米法総論　下
9,標準　判断推理　改訂版
10,ハーバード流交渉術
11,統計学入門
12,伝熱工学
13,生産マネジメント入門　２（生産資源・技術管理編）
14,心理統計学の基礎
15,量子力学　２
16,詳解大学院への数学
17,熱学・統計力学
18,ロジカル・シンキング
19,理論電磁気学
20,ノルウェイの森　上
21,ノルウェイの森　下
22,プロテスタンティズムの倫理と資本主義の精神
23,沈黙の春
24,曲線と曲面の微分幾何
25,物理学のための応用解析
26,ＤＵＯ　３．０
27,職業としての学問
28,考える技術・書く技術
29,自然科学の統計学
30,武士道
31,社会調査法入門
32,量子力学　１
33,三四郎
34,人間失格
35,論理哲学論考
36,人間の条件
37,方法序説
38,論語
39,日本的霊性
40,建築の力学
41,夜と霧
42,骨学実習の手びき
43,論理トレーニング１０１題
44,日本の思想
45,流体力学
46,カラー人体解剖学
47,固体物理の基礎　上・１
48,くずし字用例辞典　普及版
49,科学論文の英語用法百科　第１編
50,失敗の本質
51,イノベーションのジレンマ
52,こころ
53,熱力学
54,砂の女
55,カラマーゾフの兄弟　上巻
56,風の歌を聴け
57,建築の力学
58,流体力学　１
59,文明論之概略
60,三酔人経綸問答
61,ねじまき鳥クロニクル　第１部
62,航空機力学入門
63,学問のすゝめ
64,君たちはどう生きるか
65,多様体の基礎
66,坂の上の雲　３
67,シティズンシップの教育思想
68,社会科学のリサーチ・デザイン
69,坂の上の雲　４
70,国家　上
71,すべてがＦになる
72,異邦人
73,カラマーゾフの兄弟　中巻
74,歴史とは何か
75,固体物理の基礎　上・２
76,カラマーゾフの兄弟　下巻
77,社会学の根本概念
78,ＤＵＯ　３．０／ＣＤ復習用
79,ソクラテスの弁明／クリトン
80,火車
81,物質の対称性と群論
82,言語学
83,罪と罰　上巻
84,肉単
85,西の魔女が死んだ
86,ゲージ場の量子論　１
87,君主論
88,羊をめぐる冒険　下
89,羊をめぐる冒険　上
90,変身
91,詳解電磁気学演習
92,理科系のための英文作法
93,土質力学
94,オリエンタリズム　上
95,明解水理学
96,演習量子力学
97,国家　下
98,斜陽
99,孫子
100,大衆の反逆
101,入門確率過程
102,存在の耐えられない軽さ
103,くずし字解読辞典　普及版
104,ＭＢＡバリュエーション
105,罪と罰　下巻
106,ニューメリカルレシピ・イン・シー
107,心理学史への招待
108,固体物理の基礎　下・１
109,詳解物理応用数学演習
110,オリエンタリズム　下
111,完訳統治二論
112,陰翳礼讃
113,工系数学講座　第１７巻
114,必携ドイツ文法総まとめ
115,公共性の構造転換
116,量子論の基礎
117,古文書学入門
118,本当にわかりやすいすごく大切なことが書いてあるごく初歩の統計の本
119,人文・社会科学の統計学
120,フィールドワークの技法
121,竜馬がゆく　１
122,痴人の愛
123,数値計算の常識
124,ダンス・ダンス・ダンス　下
125,社会契約論
126,ルベーグ積分３０講
127,論理回路入門
128,読書について
129,ロジカル・プレゼンテーション
130,暗黙知の次元
131,岩波数学公式　３
132,公共性
133,神の子どもたちはみな踊る
134,論理学
135,岩波数学公式　１
136,エチカ　上
137,レポートの組み立て方
138,ダンス・ダンス・ダンス　上
139,車輪の下
140,晩年
141,いかにして問題をとくか
142,新編銀河鉄道の夜
143,信号解析入門
144,本を読む本
145,独和大辞典　コンパクト版
146,岩波数学公式　２
147,無機・分析化学演習
148,饗宴
149,ナイン・ストーリーズ
150,壁
151,善の研究
152,ゲージ場の量子論　２
153,解析入門　１
154,社会的共通資本
155,ご冗談でしょう、ファインマンさん　上
156,磁力と重力の発見　１（古代・中世）
157,福翁自伝
158,電気磁気学演習
159,ツァラトゥストラはこう言った　上
160,フィードバック制御入門
161,無縁・公界・楽
162,ロイヤル英文法
163,悲しき熱帯　１
164,ニコマコス倫理学　上
165,流体力学の数値計算法
166,判断力批判　上
167,アナログＣＭＯＳ集積回路の設計　基礎編
168,まなざしのレッスン　１
169,沈黙
170,線型代数入門
171,ファインマン物理学　１
172,死に至る病
173,春琴抄
174,アルケミスト
175,生の短さについて
176,知的生産の技術
177,デザインのデザイン
178,物理化学演習　１
179,忘れられた日本人
180,城
181,講座数学の考え方　２０
182,計測における誤差解析入門
183,奔馬
184,ファインマン物理学　５
185,ファインマン物理学　３
186,伝奇集
187,エチカ　下
188,永遠平和のために
189,ゴルギアス
190,ニコマコス倫理学　下
191,法の精神　上
192,関数解析
193,アリストテレース詩学／ホラーティウス詩論
194,ドグラ・マグラ　上
195,幸福論
196,海と毒薬
197,ベーシック電気化学
198,日の名残り
199,ファインマン物理学　４
200,自由からの逃走
201,共産党宣言
202,ファインマン物理学　２
203,三四郎
204,形而上学　上
205,白い巨塔　第２巻
206,ご冗談でしょう、ファインマンさん　下
207,問題発見プロフェッショナル「構想力と分析力」
208,天人五衰
209,ボッコちゃん
210,螢／納屋を焼く／その他の短編
211,解析入門　２
212,イリアス　上
213,物質からの回折と結像
214,翻訳語成立事情
215,イスラームとは何か
216,堕落論
217,こころの処方箋
218,ベンヤミン・コレクション　１
219,メノン
220,「いき」の構造
221,考えるヒント
222,半導体デバイス
223,ドグラ・マグラ　下
224,幸福論
225,時間と自由
226,夜と霧
227,信頼の構造
228,論理学をつくる
229,オデュッセイア　上
230,民主主義と教育　上
231,《仏検》３・４級必須単語集
232,マッカーリ・サイモン物理化学　上
233,世論　上
234,カフカ短編集
235,専門知と公共性
236,英米法辞典
237,風土
238,ガリア戦記
239,李陵／山月記
240,悪霊　上巻
241,資本論　１
242,モオツァルト／無常という事
243,形而上学　下
244,システム制御理論入門
245,冷たい密室と博士たち
246,葉隠入門
247,電子移動の化学
248,世論　下
249,悲しき熱帯　２
250,イリアス　下
251,ヴィヨンの妻
252,国富論　１
253,権利のための闘争
254,サンプルサイズの決め方
255,エミール　上
256,電磁気学
257,自殺について
258,道徳の系譜
259,岩波哲学・思想事典
260,ライ麦畑でつかまえて
261,非平衡系の物理学
262,代数学１群と環
263,オデュッセイア　下
264,民主主義と教育　下
265,白痴　上巻
266,レヴィナス入門
267,熱学入門
268,野生の思考
269,デカルト的省察
270,性の歴史　１
271,ドストエフスキーの詩学
272,翻訳と日本の近代
273,コーラン　上
274,こころが晴れるノート
275,こころ
276,他人の顔
277,電磁気学演習
278,歴史哲学講義　上
279,形而上学入門
280,眠れる美女
281,ヨーロッパ諸学の危機と超越論的現象学
282,数値解析
283,共分散構造分析　入門編
284,統計でウソをつく法
285,大学中庸
286,組織の経済学
287,日本人の法意識
288,サバルタンは語ることができるか
289,生きがいについて
290,ニーチェ入門
291,数値解析入門
292,線型代数演習
293,多変量解析法入門
294,ヨーロッパの政治
295,政治学史
296,クロニクル社会学
297,日本政治思想史研究
298,流体力学　前編
299,宗教的経験の諸相　上
300,歴史　上
301,若きウェルテルの悩み
302,万延元年のフットボール
303,タテ社会の人間関係
304,日はまた昇る
305,プラズマ物理入門
306,時間の比較社会学
307,方丈記
