ranking,ISBN,title,author,publisher,genre,year
1,9784130821353 ,東大英語リーディング　多元化する世界を英語で読む,東京大学教養学部英語部会,東京大学出版会,英米語,2024
2,9784130527071 ,身体運動・健康科学ベーシック,東京大学身体運動科学研究室,東京大学出版会,体育スポ,2024
3,9784130624572 ,情報,山口和紀,東京大学出版会,情報科学,2024
4,9784807907953 ,基礎化学実験,東京大学,東京化学同人,化学,2024
5,9784780612837 ,基礎物理学実験　２０２４秋ー２０２５春,東京大学教養学部基礎物理学実験テキスト編,学術図書出版社,物理学,2024
6,9784758121712 ,物理・化学・数理から理解する生命科学,東京大学生命科学教科書編集委員会,羊土社,生物学,2024
7,9784255551111 ,スペイン語学習の羅針盤,東京大学教養学部スペイン語部会,朝日出版社,各国語,2024
8,9784863984226 ,漢語課本,小野秀樹（中国語）,白帝社,各国語,2024
9,9784130629232 ,大学数学ことはじめ,東京大学数学部会,東京大学出版会,数学,2024
10,9784065225479 ,現代物性化学の基礎,小川桂一郎,講談社,化学,2024
11,9784781915555 ,３ＤーＣＡＤで学ぶ図形科学入門,横山ゆりか,サイエンス社,電子通信,2024
12,9784759810844 ,量子化学,真船文隆,化学同人,化学,2024
13,9784758121026 ,理系総合のための生命科学,東京大学生命科学教科書編集委員会,羊土社,生物学,2024
14,9784883843824 ,入門統計解析,倉田博史,新世社（渋谷区）,経済財政,2024
15,9784785322496 ,マクスウェル方程式から始める電磁気学,小宮山進,裳華房,物理学,2024
16,9784130622271 ,基礎生命科学実験,東京大学教養学部基礎生命科学実験編集委員,東京大学出版会,生物学,2024
17,9784130624589 ,Ｐｙｔｈｏｎによるプログラミング入門　東京大学教養学部テキスト,森畑明昌,東京大学出版会,情報科学,2024
18,9784130622301 ,進化と人間行動,長谷川寿一,東京大学出版会,生物学,2024
19,9784000614061 ,東大連続講義歴史学の思考法,東京大学教養学部歴史学部会,岩波書店,歴史総記,2024
20,9784780611632 ,基礎物理学実験　２０２３秋ー２０２４春,東京大学教養学部基礎物理学実験テキスト編,学術図書出版社,物理学,2024
21,9784785320881 ,振動・波動,小形正男,裳華房,物理学,2024
22,9784000616072 ,憲法,芦部信喜,岩波書店,法律,2024
23,9784863985551 ,初修中国語演習テキスト,毛興華,白帝社,各国語,2024
24,9784410154638 ,チャート式シリーズ大学教養　線形代数,加藤文元,数研出版,数学,2024
25,9784641139619 ,判例刑法総論,山口厚,有斐閣,法律,2024
26,9784410152306 ,チャート式シリーズ大学教養　微分積分,加藤文元,数研出版,数学,2024
27,9784641138322 ,民法の基礎　１,佐久間毅,有斐閣,法律,2024
28,9784785314088 ,微分積分学,難波誠,裳華房,数学,2024
29,9784780609417 ,考える力学,兵頭俊夫,学術図書出版社,物理学,2024
30,9784477033433 ,新微分積分Ｉ,高遠節夫,大日本図書,数学,2024
31,9784560017630 ,イタリア語のスタート文法と練習,東京大学イタリア語教材編集委員会,白水社,各国語,2024
32,9784641138988 ,民法の基礎　２,佐久間毅,有斐閣,法律,2024
33,9784641115453 ,憲法判例百選　１,長谷部恭男,有斐閣,法律,2024
34,9784641115460 ,憲法判例百選　２,長谷部恭男,有斐閣,法律,2024
35,9784130121170 ,心理学,鹿取広人,東京大学出版会,心理,2024
36,9784130623230 ,科学の技法,東京大学教養教育高度化機構Ｅｄｕｃａｔｉ,東京大学出版会,自然科学,2024
37,9784560087046 ,スペイン語の入門,瓜谷良平,白水社,各国語,2024
38,9784269120266 ,家族の肖像,藤井治彦,英宝社,英米語,2024
39,9784130620017 ,線型代数入門,斎藤正彦,東京大学出版会,数学,2024
40,9784641009240 ,ポケット六法　令和６年版,佐伯仁志,有斐閣,法律,2024
41,9784130625012 ,化学の基礎７７講,東京大学,東京大学出版会,化学,2024
42,9784641136748 ,民法判例集　総則・物権,内田貴,有斐閣,法律,2024
43,9784320115651 ,公式と例題で学ぶ　統計学入門,久保川達也,共立出版,数学,2024
44,9784563023218 ,相対性理論入門講義,風間洋一,培風館,物理学,2024
45,9784477033440 ,新微分積分Ｉ問題集,高遠節夫,大日本図書,数学,2024
46,9784641009257 ,ポケット六法　令和７年版,荒木尚志,有斐閣,法律,2024
47,9784535786547 ,線形代数学,川久保勝夫,日本評論社,数学,2024
48,9784535557567 ,ミクロ経済学の力,神取道宏,日本評論社,経済財政,2024
49,9784781914275 ,工学基礎図学と製図,磯田浩,サイエンス社,工学工業,2024
50,9784815810092 ,現代アート入門,デイヴィッド・コッティントン,名古屋大学出版会,芸術総記,2024
51,9784641174566 ,大学生のストレスマネジメント,齋藤憲司,有斐閣,心理,2024
52,9784480439123 ,思考の整理学,外山滋比古,筑摩書房,哲学,2024
53,9784641150782 ,政治学の第一歩,砂原庸介,有斐閣,政治,2024
54,9784535559271 ,経済学史,野原慎司,日本評論社,経済財政,2024
55,9784535558175 ,入門経済学,伊藤元重,日本評論社,経済財政,2024
56,9784327394202 ,スペイン語文法ハンドブック,上田博人,研究社,各国語,2024
57,9784563024321 ,熱力学,田崎晴明,培風館,物理学,2024
58,9784641001619 ,国際条約集　２０２４年版,植木俊哉,有斐閣,法律,2024
59,9784781914459 ,演習図学と製図,磯田浩,サイエンス社,工学工業,2024
60,9784492315583 ,マンキューマクロ経済学　１,Ｎ．グレゴリー・マンキュー,東洋経済新報社,経済財政,2024
61,9784102052129 ,百年の孤独,ガブリエル・ガルシア・マルケス,新潮社,外文小説,2024
